id,title,url,upload_date,duration,view_count,description,thumbnail
uXwpGCMp6h8,"Hiring, Onboarding, and Retaining Diverse Tech Talent",https://www.youtube.com/watch?v=uXwpGCMp6h8,,3755.0,,,https://i.ytimg.com/vi/uXwpGCMp6h8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAzHX6pZQRQmivv6R1pEnsJVt1iBw
1NGHRwktA2c,How to Know When It's Time to Quit,https://www.youtube.com/watch?v=1NGHRwktA2c,,2974.0,,,https://i.ytimg.com/vi/1NGHRwktA2c/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCk1bDyQbgOusvgb36tPVP2qDtzbA
KarA2fcG1dQ,How To Build A Product Market Fit Engine,https://www.youtube.com/watch?v=KarA2fcG1dQ,,3602.0,,,https://i.ytimg.com/vi/KarA2fcG1dQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB9vACx28cqqZyxV-jXPc-0os_OuA
0SyZFFW2mWs,Fundraising for Female Entrepreneurs,https://www.youtube.com/watch?v=0SyZFFW2mWs,,3443.0,,,https://i.ytimg.com/vi/0SyZFFW2mWs/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAvudxbznPApU35yM9vLkY7QCvGVQ
fgyiV6b-sqg,How Cultural Awareness Can Propel Growth,https://www.youtube.com/watch?v=fgyiV6b-sqg,,2754.0,,,https://i.ytimg.com/vi/fgyiV6b-sqg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDQ1YAD2iJU-olGOwcb9-gWhJqa2w
ulFDrIugLuo,Do I Really Need A Product Roadmap?,https://www.youtube.com/watch?v=ulFDrIugLuo,,3078.0,,,https://i.ytimg.com/vi/ulFDrIugLuo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDX-mA3nl6RPIC9TilcSS1yTGs_Iw
ExZDHZqUMZk,Code Savvy Presents: Entrepreneurial Thinking For Students,https://www.youtube.com/watch?v=ExZDHZqUMZk,,5312.0,,,https://i.ytimg.com/vi/ExZDHZqUMZk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAHRTUJQz2yD0TimGgK-3rflK1sDg
mSFbdRTTblc,A deep dive into Gen Z Industry Trends with Atland Ventures,https://www.youtube.com/watch?v=mSFbdRTTblc,,3626.0,,,https://i.ytimg.com/vi/mSFbdRTTblc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDSqZJwfMObdtFwyae-pekldQ-_Lw
McacCxBQeNM,Begin with Validation: The First Step to Turning Your Idea into a Profitable Business,https://www.youtube.com/watch?v=McacCxBQeNM,,3829.0,,,https://i.ytimg.com/vi/McacCxBQeNM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAPgL4o6FKexU19fNqw8TaGzm1d7A
LhgrvbeI-fY,Bringing your product to life - The value of hiring an experienced team,https://www.youtube.com/watch?v=LhgrvbeI-fY,,2685.0,,,https://i.ytimg.com/vi/LhgrvbeI-fY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDCNdeHOmRF9nGwE1IMJxUhD_DXpQ
