name,years_active,session_count,companies,roles,sample_sessions,avatar_url,email,linkedin,twitter,notes
avatar for Courtney Phillips,2018,1,"entrepreneur, and Ford model with diverse professional experience. With eclectic talents and interests, Courtney’s professional portfolio includes a broad range of experiences, from music video production for artists including Frank Ocean to the curation...Read More →",,The Power of Your Personal Brand - Red Bull Athlete and Artist Workshop & Tell-a,//avatars.sched.co/a/0d/6092050/avatar.jpg?918,,,,
avatar for Craig Key,2018,1,"BitesquadCraig leads Bite Squads marketing efforts, driving growth through acquisition, retention, and loyalty of customers, drivers, and restaurants. Craig has over 14 years experience in digital marketing, and has built a career off of innovation with new ways to connect with audience. Prior...Read More →",,The Best Product You've Never Heard of . . . How to get your Story out in the Ch,//avatars.sched.co/2/d9/5920100/avatar.jpg?142,,,,
avatar for Craig Kielburger,2018,1,"WEHumanitarian, activist and social entrepreneur, Craig Kielburger inspires young people around the world to take action and drive social change. Craig is a social entrepreneur and the co-founder of a family of organizations dedicated to the power of WE, a movement of people coming...Read More →",,Luminaries Speaker Series: How a Teenager Lifted a Million People from Poverty *,//avatars.sched.co/a/03/5975455/avatar.jpg?374,,,,
avatar for Creating IT Futures (Host),2018,1,,,Keeping the Diverse in IT: A Lesson in Employee Retention *External Ticket Requi,//avatars.sched.co/9/4f/6168628/avatar.jpg?512,,,,
avatar for Creators Space (Host),2018,1,,,Tap the Power of Communities: Creating & Inventing in Your Neighborhood,//avatars.sched.co/d/c9/6169207/avatar.jpg?b95,,,,
avatar for Cura,2018,1,"gender of professional, specialization...Read More →",,MacGo Night,//avatars.sched.co/3/07/5915956/avatar.jpg?a1d,,,,
avatar for Curtis Johnson,2018,1,"Education EvolvingCurtis Johnson is the Chairman of Education Evolving and co-authored, ""Disrupting Class"" with Harvard Business School Professor, Clayton Christensen and Michael Horn. For nearly 30 years, he has contributed to the advancement of major policy innovations in education. Curtis has a...Read More →",,Why Disrupting Education is So Hard,//avatars.sched.co/a/36/5920671/avatar.jpg?c5a,,,,
avatar for Cytilife Inc (Host),2018,2,,,And you thought only you could be Smart! Smart Cities and Communities are changi; And you thought only you could be Smart! Smart Cities and Communities are changi,//avatars.sched.co/1/2e/6168802/avatar.jpg?e0e,,,,
avatar for Dalton Outlaw,2018,1,"Element GymFounded in 2011, following the closure of the last standing boxing gym in Saint Paul, Dalton Outlaw created Element Boxing. Sacrificing his professional boxing career to give youth a chance or opportunity to achieve greatness through their own boxing. His mission is to build equality...Read More →",,Leading With Purpose: Exploring Business Structures for Mission-Driven Companies,//avatars.sched.co/5/50/5950705/avatar.jpg?77d,,,,
avatar for Damon Johnson,2018,2,"CocoKefir LLCDamon Johnson serves as the vice president of Enterprise Strategic Growth within Global Enterprise Solutions (GES) for Cox Automotive. Before joining Cox Automotive, Johnson started a digital agency in 1994 called DeemJay Consulting and in 2001, Johnson co-founded CDM data and CDM...Read More →",,You Are What You Eat: The Nexus of Food & Health - Morning Session *External Tic; You Are What You Eat: The Nexus of Food & Health - Afternoon Session *External T,//avatars.sched.co/f/ee/5977588/avatar.jpg?527,,,,
avatar for Dan Bruzzone,2018,1,Patterson Thuente IPDan Bruzzone became a patent attorney after working for several years in research and development at 3M where he helped develop polymers used in adhesives and solar encapsulants. Dan’s background as a physicist allows him to work with a variety of technologies in his practice. He...Read More →,,Why Your Intellectual Property (IP) is Your Most Valuable Asset,//avatars.sched.co/0/3d/6331371/avatar.jpg?356,,,,
avatar for Dan Buettner,2018,1,"National Geographic Fellow, award-winning journalist and producer, and New York Times bestselling author. He discovered the five places in the world – dubbed Blue Zones – where people live the longest, healthiest lives. His articles about these places...Read More →",,MANOVA Global Summit on the Future of Health in Medical Alley - Monday pass,//avatars.sched.co/e/e5/5954983/avatar.jpg?6fc,,,,
avatar for Dane Theisen,2023,1,,,Cannabis Breeding 101: Growing Cannabis for Seeds,//avatars.sched.co/2/20/19172579/avatar.jpg?c16,,,,
avatar for Daniel Kiuru-Ribar,2018,1,"Field NationDaniel is an agile evangelist and management professional with a passion to help people realize their potential.He has coached and enabled global teams to develop high-quality software in an agile development lifecycle for HRIS, Payroll, health metrics, identity management, fleet management, expense management, retail, and e-commerce software...Read More →",,When Agile Methods Stop Working,//avatars.sched.co/5/ec/5915989/avatar.jpg?ffe,,,,
avatar for Daniel L. Lowin,2018,1,"Messerli KramerDaniel Lowin represents businesses in commercial and employment litigation and counsels them on complex employment law matters, joining legal expertise and analytical acuity with extensive business experience. Daniel works with companies of all sizes across industries including software...Read More →",,Preparing Your Startup For Investment,//avatars.sched.co/9/aa/5914884/avatar.jpg?f6c,,,,
avatar for Danielle Steer,2018,2,"Lunar StartupsDanielle Steer is dedicated to helping problem solvers achieve their dreams and is acutely passionate about making the world a more equitable place to thrive, for all. Leveraging her origins as an overscheduled student-athlete, she brings an intense amount of energy, a team first...Read More →",,"By, For, With: Investing in Diversity; Thrivent Social Reverse Pitch Challenge *External Ticket Required*",//avatars.sched.co/a/8d/5920724/avatar.jpg?d32,,,,
avatar for Danielle Wojdyla,2018,1,"with Señoras de Salsa, began her professional food career at General Mills where she developed and improved products like cereals, snacks, and baked goods. From this technical background, she transitioned to community-based “social enterprise” at a local non-profit...Read More →",,Social Entrepreneur Live!,//avatars.sched.co/e/bc/6249535/avatar.jpg?64c,,,,
avatar for Daren Cotter,2018,1,Inbox Dollars,,Play the Odds: The Future and Impact of Sports Betting,//avatars.sched.co/9/d6/6018712/avatar.jpg?11b,,,,
avatar for Datalogue,2018,1,,,Pitchfest in the Midwest *External Registration Required*,//avatars.sched.co/6/36/6324135/avatar.jpg?25c,,,,
avatar for Dave Lenzmeier,2018,2,"Milk SpecialtiesAs the CEO of Milk Specialties Global (MSG), David Lenzmeier is primarily focused on expanding the Company’s capabilities within the Human Nutrition market. Lenzmeier also currently serves as a board member at the Hendrickson Foundation, working to sponsor individuals with physical/mental...Read More →",,You Are What You Eat: The Nexus of Food & Health - Morning Session *External Tic; You Are What You Eat: The Nexus of Food & Health - Afternoon Session *External T,//avatars.sched.co/2/bc/5977630/avatar.jpg?cbf,,,,
avatar for David Berger,2018,3,"Integra LedgerDavid Berger is a computer technologist with extensive experience focusing on Mobile/Social content delivery. He has worked with numerous large and small clients including Sun, Oracle, IDG books, Pogo and NBC. David previously founded Scientia, acquired by the Princeton Review, and...Read More → | private equity, IPO to publicly traded. Actively involved with public and private technology companies as a board member, audit committee chair and governance and finance committee member, as well...Read More →",,Pre- TCSW Startup Weekend *External Registration Required*; Pre- TCSW Startup Weekend *External Registration Required*; Blockchain Isn’t Just For Finance *External Registration Required*,//avatars.sched.co/5/9b/5912814/avatar.jpg?7fe,,,,
avatar for David Bjorklund,2023,1,"BlueSky Online Charter SchoolDavid Bjorklund is a seasoned Science Teacher currently guiding minds at BlueSky Online Charter School. David's journey began at Bemidji State University, culminating in a degree from St. Cloud State University in 1992. His early years saw him illuminating 5th-grade minds in Walnut...Read More →",,Classroom Kickoff: ChatGPT Insights and Strategies for Back-to-School Success,//avatars.sched.co/f/bd/19215399/avatar.jpg?977,,,,
avatar for David Mauch,2023,1,"BizOps Chief Financial Officer, CLA (CliftonLarsonAllen LLP)",,Strategies for Business Growth and Funding,//avatars.sched.co/1/92/19261964/avatar.jpg?81d,,,,
avatar for David Peteler,2018,3,"Avisen Legal, P.A.For over 30 years, David Peteler has helped a wide range of clients achieve their business goals. David has worked with companies ranging from Silicon Valley tech start-ups to local Minnesota businesses to Fortune 500 companies.Through his expertise in corporate financing, gained from over 200 private placements and several public offerings, David is adept at helping clients plan, negotiate and close successful financings. Through his long experience with mergers and acquisitions, joint ventures, divestitures...Read More →",,Tech Start-Ups: Getting the Legal Part Right; Minnesota Start-Up Darwin Lessons Part 2; Mentor Morning,//avatars.sched.co/2/fc/5991856/avatar.jpg?916,,,,
avatar for David Quimby,2018,1,"Innovation RadiationI am a mathematical economist and systems analyst. I have rotated through various cycles at the extremes of large enterprise and small enterprise as a technology executive and a software entrepreneur. My expertise includes knowledge management, technological forecasting, and systematic...Read More →",,Optimizing Product / Service Configuration with Systematic Innovation,//avatars.sched.co/f/3a/5912817/avatar.jpg?eed,,,,
avatar for David V. Duccini,2018,3,Silicon Prairie Portal & ExchangeDavid V Duccini is a well-regarded information security expert with real world “wire-to-web” e-commerce experience. In addition to having built an Internet Service Provider from scratch in the 1990’s he has been on a self-described “tour of duty” consulting with Fortune...Read More →,,Crypto Breakfast; From Crowdfunding to ICOs: Tips for Creatively (and Legally) Financing Your Busi; Initial Crowd Offering (ICO) : Going Public Using Investment Crowdfunding,//avatars.sched.co/2/33/5915984/avatar.jpg?16d,,,,
avatar for David Winkler,2018,2,efficient legal solutions to achieve business goals. He is co-chair of Fredrikson & Byron’s Start Up and Rapid Growth Enterprises (SURGE) group focusing...Read More →,,5 THINGS ABOUT 5 THINGS Every Startup Should Know * External Registration Requir; How to Finance Your Startup,//avatars.sched.co/d/43/5916079/avatar.jpg?97e,,,,
avatar for David Zimmerman,2018,1,"Chuck & Don'sDavid is a graduate of North Dakota State University in Fargo.  He started his career in retail while in college and has worked as a manager for Target, Pamida, and Party City.  David started with Chuck & Don’s Pet Food and Supplies in 2011, and currently works as a District Operations...Read More →",,The Story of Chuck & Don’s: How “Man’s Best Friend” Turned Friends into Entrepre,//avatars.sched.co/4/20/5934139/avatar.jpg?01f,,,,
avatar for David and Jonah Stillman,2018,1,"politicians and the media to share his expertise on how best to bridge generational gaps. David has appeared on CNN, CNBC, and the TODAY Show as well as...Read More →",,The Consumerization of Health Track Session - MANOVA Global Summit on the Future,//avatars.sched.co/c/34/5955241/avatar.jpg?950,,,,
avatar for DeLonn Crosby,"2018, 2023",4,"Nice HealthcareFor more than a decade, Thompson Aderinkomi, MS, MBA has been a leader in delivering solutions that solve the two biggest problems in healthcare - access and affordability. Thompson is the CEO AND Cofounder of Nice Healthcare, a technology-enabled integrated care clinic that delivers...Read More → | an education technology company that has developed a screen-free, play-based learning platform. SayKid combines voice technology with tangible play to help kids learn in a more active and engaging way - without screens!Visit https://saykid.com to learn more...Read More →",,"Identifying Growth in Education Thru ""Jobs to be Done""; Why Disrupting Education is So Hard; Scaling Social Impact",//avatars.sched.co/1/cd/5970106/avatar.jpg?540,,,,
avatar for Dean Peterson,2018,1,iHeartMedia,,The Best Product You've Never Heard of . . . How to get your Story out in the Ch,//avatars.sched.co/1/3f/5920105/avatar.jpg?52e,,,,
avatar for Dee Thibodeau,2018,1,Sofia Fund,,Office Hours with Sofia Fund *External Registration Required*,//avatars.sched.co/a/d9/5946039/avatar.jpg?ca1,,,,
avatar for Deepinder Singh,2018,1,75F,,When Worlds Collide: Corporate-Startup Collaboration,//avatars.sched.co/b/3f/6170731/avatar.jpg?419,,,,
avatar for Demi Radeva,2023,1,"Akros AdvisoryDemi Radeva is a health tech strategist and founder of Akros Advisory, a consulting firm that helps startups navigate complex payer landscapes, unlock B2B growth, and demonstrate ROI in healthcare. With 15+ years of experience spanning digital health, managed care, and healthcare...Read More →",,Strategic Partnerships with Health Insurance,//avatars.sched.co/5/8d/19030614/avatar.jpg?8f7,,,,
avatar for Denise Bulter,2023,5,"ACER INCI currently lead the organization's Economic Development work. What does this look like? Heading business development opportunities for business owners & entrepreneurs: training, technical assistance, micro grants, resources and tools. I also lead on systems relational organizing...Read More → | ACER INCNelima Sitati Munene has been a community organizer for over 17 years and has worked in various roles throughout the community development field. Nelima has deep passion for community engagement to ensure that underserved communities are present at decision making tables. Nelima has...Read More → | Chef Flo-K Foods LLC | Indred Alexander Agency, LLC",,ACER INC Fireside Chat | Cultural Communities & Prosperity; ACER INC Fireside Chat | Cultural Communities & Prosperity; ACER INC Fireside Chat | Cultural Communities & Prosperity,//avatars.sched.co/4/63/8400867/avatar.jpg?668,,,,
avatar for Derek Wohlers,2018,2,"TotalExpertDerek is a Director of Customer Success with Total Expert, the fastest growing tech companies in Minnesota.  Total Expert is a SaaS (Software as a Service) company that created the first enterprise-grade Marketing Operating System specifically for the financial services industry...Read More →",,How to Measure Customer Success at Your Startup [Panel Discussion]; Startup Week Happy Hour,//avatars.sched.co/a/2f/5982529/avatar.jpg?f4e,,,,
"avatar for Design Center, Inc. (Host)",2018,1,Inc. (Host),,Collaborative VR - Making VR Less Lonely,//avatars.sched.co/2/03/6077851/avatar.jpg?4b7,,,,
avatar for Diane Rucker,2018,1,"University Enterprise LabsDiane Rucker is the Executive Director for University Enterprise Labs (UEL), a non-profit incubator dedicated to supporting early-stage life science and technology ventures. She works with resident companies on growth, strategy, and day-to-day operations, and on helping teams to get...Read More →",,What You Need for a BioTech or Medical Startup,//avatars.sched.co/7/5b/5912387/avatar.jpg?ea7,,,,
avatar for Dick Polipnick,2023,1,"Online Growth SystemsDick is a tech hybrid that combines his business experience, marketing background, and software engineering education to solve tough problems.In addition to being a developer and an entrepreneur, Dick is the host of Online Growth Systems- an online community of #growthers (or people that focus on ""growthing"" their health, wealth, love and happiness) by creating digital content including blogs, videos, podcasts, and a newsletter...Read More →",,How to grow SaaS companies to $1M ARR: The ACES Model,//avatars.sched.co/f/94/9356614/avatar.jpg?d66,,,,
avatar for Die Yung (Anayancy),2018,1,"utilizing photography to display a magical representation of the feminine experience. Raised in California, her work is inspired by the gore and graininess of old movies she grew up watching with her family. Her work has been published on MILK...Read More →",,The Power of Your Personal Brand - Red Bull Athlete and Artist Workshop & Tell-a,//avatars.sched.co/7/35/6167023/avatar.jpg?108,,,,
avatar for Dizzy Fae,2018,1,"Dizzy developed an eclectic style that has landed her on stages alongside The Internet, Kehlani, Poliça, Empress...Read More →",,The Power of Your Personal Brand - Red Bull Athlete and Artist Workshop & Tell-a,//avatars.sched.co/6/57/6092065/avatar.jpg?2ce,,,,
avatar for Don Ball,2018,1,Fueled Collective,,"The Lifecycle of a Brand: Building Stories that Start, Scale, Sustain, and Sell ",//avatars.sched.co/b/de/5916038/avatar.jpg?090,,,,
avatar for Don Smithmier,2018,2,"CEO, Gokart Labs | GoKart LabsDon Smithmier is Co-founder and CEO of GoKart Labs, where his team works with companies of all sizes to help them crack their digital problems and reach their growth goals. He has founded and/or led several early-stage ventures in education such as Sophia Learning and Capella Education...Read More →",,"Identifying Growth in Education Thru ""Jobs to be Done""; Digital Transformation: Fireside chat Bremer Bank and GoKart Labs *External Regi",//avatars.sched.co/b/2a/5912789/avatar.jpg?287,,,,
avatar for Doug Berg,2018,1,ZAPinfo,,"The Lifecycle of a Brand: Building Stories that Start, Scale, Sustain, and Sell ",//avatars.sched.co/d/8d/5916040/avatar.jpg?7e4,,,,
avatar for Dr. Elizabeth Klodas,2018,2,"Step One FoodsElizabeth Klodas MD, FACC is founder and chief medical officer of Step One Foods LLC, based in Minneapolis, Minnesota. Step One Foods develops, manufactures and markets practical food products designed specifically to help patients reduce their reliance on prescription medications...Read More →",,You Are What You Eat: The Nexus of Food & Health - Morning Session *External Tic; You Are What You Eat: The Nexus of Food & Health - Afternoon Session *External T,//avatars.sched.co/d/be/5977639/avatar.jpg?8fb,,,,
avatar for Dr. Freddy Abnousi,2018,1,FacebookDr. Abnousi is the Head of Healthcare – Research Partnerships at Facebook and an Interventional Cardiologist specializing in coronary and structural interventions. He also serves as Innovation Advisor to the American College of Cardiology and Assistant Professor Adjunct at Yale...Read More →,,MANOVA Global Summit on the Future of Health in Medical Alley - Wednesday Pass *,//avatars.sched.co/b/6b/5955196/avatar.jpg?958,,,,
avatar for Dr. Jaeyun Sung,2018,1,"Mayo Clinic Ventures Microbiome ProjectJaeyun Sung, Ph.D., develops computational analytical approaches to understand the intricate relationship between commensal microbial organisms and human health. Of particular interest to Dr. Sung is characterizing the global interconnectivity within our body's microbial community...Read More →",,You Are What You Eat: The Nexus of Food & Health - Morning Session *External Tic,//avatars.sched.co/9/05/6179761/avatar.jpg?769,,,,
avatar for Dr. James Mault,2018,1,"CQuentia, Formerly QualcommJames Mault, MD, FACS, is the President and Chief Medical Officer of CQuentia, the leading Genomics/PGx Personalized Medicine solution provider. Prior to joining CQuentia, Dr Mault served as Senior Vice President and Chief Medical Officer of Qualcomm Life for over five years, where...Read More →",,MANOVA Global Summit on the Future of Health in Medical Alley - Tuesday pass *Ex,//avatars.sched.co/6/58/5955088/avatar.jpg?ad6,,,,
avatar for Dr. Jijo James,2018,1,"Johnson & JohnsonJijo is the Chief Medical Officer for Johnson & Johnson Medical Devices. In the role, he is responsible for overseeing patient monitoring and safety surveillance practices. Jijo is a member of the Johnson & Johnson Office of the Chief Medical Officer Senior Leadership team and Medical...Read More →",,MANOVA Global Summit on the Future of Health in Medical Alley - Monday pass,//avatars.sched.co/e/4c/5955001/avatar.jpg?785,,,,
"avatar for Dr. Kate Shafto, MD, CTropMed",2018,2,"MD, CTropMedIntegrative Medicine Fellow, University of MinnesotaDr. Kate Shafto is board certified in Internal Medicine and Pediatrics, and is currently pursuing a fellowship in Integrative Medicine (Arizona Center for Integrative Medicine, Class of 2017). She has various roles in Undergraduate Medical Education and Global Health Education at...Read More →",,You Are What You Eat: The Nexus of Food & Health - Morning Session *External Tic; You Are What You Eat: The Nexus of Food & Health - Afternoon Session *External T,//avatars.sched.co/8/9e/5977648/avatar.jpg?d3d,,,,
avatar for Dr. Kate Venable Shafto,2018,1,"University of MinnesotaDr. Kate Shafto is board certified in Internal Medicine and Pediatrics, and is currently pursuing a fellowship in Integrative Medicine (Arizona Center for Integrative Medicine, Class of 2017). She has various roles in Undergraduate Medical Education and Global Health Education at...Read More →",,You Are What You Eat: The Nexus of Food & Health - Morning Session *External Tic,//avatars.sched.co/e/f8/6179932/avatar.jpg?f59,,,,
avatar for Dr. Kevin Steele,2018,2,"PTA Global & PTontheNetDr. Kevin Steele is the President of PTA Global & PTontheNet, providing high quality online education for the health and fitness industry worldwide. He began his career with a private personal training business for celebrities and athletes while a faculty member at Pepperdine University...Read More →",,You Are What You Eat: The Nexus of Food & Health - Morning Session *External Tic; You Are What You Eat: The Nexus of Food & Health - Afternoon Session *External T,//avatars.sched.co/9/8d/5977732/avatar.jpg?f0c,,,,
avatar for Dr. Manjeet Rege,2018,1,"Educator & Consultant, The University of St. ThomasManjeet Rege is an Associate Professor of Graduate Programs in Software at the University of St. Thomas. Dr. Rege is an author, mentor, thought leader, and a frequent public speaker on Big Data, Machine Learning, and Artificial Intelligence technologies. He is also the co-host of...Read More →",,Panel: The Future of Marketing in the Age of Machine Learning,//avatars.sched.co/9/c5/5914639/avatar.jpg?1d1,,,,
avatar for Dr. Naresh Kanumilli,2018,1,"National Institute of Health in Manchester, United KingdomDr Naresh Kanumilli has been a GP in south Manchester for the past 14 years and he has a specialist interest in diabetes and cardiology.He is a Diabetes UK Clinical Champion.He has a very keen focus on management of chronic conditions in the community and hence has been actively...Read More →",,Lessons from Global Marketplace Track - MANOVA Global Summit on the Future of He,//avatars.sched.co/b/1e/5955574/avatar.jpg?56f,,,,
avatar for Dr. Penny Wheeler,2018,1,"AllinaPenny Wheeler, MD, is the president and chief executive officer of Allina Health. Prior to her appointment as CEO, she served as the chief clinical officer of Allina Health, responsible for leading the organization's quality and value agenda through alignment of the clinical and operational...Read More →",,MANOVA Global Summit on the Future of Health in Medical Alley - Monday pass,//avatars.sched.co/0/23/5955004/avatar.jpg?648,,,,
avatar for Dr. Ray Price,2018,1,"University of UtahDr. Price, a pioneer in expanding the role of surgery in public health, has helped improve health care worldwide. Dr. Price is a clinician, researcher, author, and advocate for equality in health care. Honors received by Dr. Price include: the Presidential Friendship Medal, Mongolia...Read More →",,MANOVA Global Summit on the Future of Health in Medical Alley - Monday pass,//avatars.sched.co/c/dd/5954992/avatar.jpg?763,,,,
avatar for Dr. Robert Brook,2018,1,"RAND CorporationRobert H. Brook holds the Distinguished Chair in Health Care Services at the RAND Corporation, where he previously served for 19 years as vice president and director of RAND Health. He is also a senior principal physician policy researcher at the RAND Corporation, a professor at the...Read More →",,MANOVA Global Summit on the Future of Health in Medical Alley - Wednesday Pass *,//avatars.sched.co/9/5b/5955193/avatar.jpg?5dc,,,,
avatar for Dr. Sonja Nodland,2018,1,WellmuneSonja Nodland received her Masters degree in Cellular and Molecular Biology from Washington University in St. Louis and her Doctorate in Immunology and Cancer Biology from the University of Minnesota. After completing a post doctoral fellowship in human developmental immunology in...Read More →,,You Are What You Eat: The Nexus of Food & Health - Morning Session *External Tic,//avatars.sched.co/6/9d/6179812/avatar.jpg?3a8,,,,
avatar for Dr. Steven Russell,2018,1,"CEO, VyriadDr. Russell is a Professor of Molecular Medicine, Consultant Hematologist at Mayo Clinic Rochester and serves on the Board of Trustees of Buena Vista University, Iowa. He was formerly the Dean for Discovery and Experimental Research at Mayo Clinic. He obtained his MD from the University...Read More →",,Game Changers Track - MANOVA Global Summit on the Future of Health in Medical Al,//avatars.sched.co/f/2d/5955721/avatar.jpg?d19,,,,
avatar for Dr. Tomas Valdivia,2018,2,"Bright HealthDr. Valdivia is a health care executive with more than 20 years of experience founding, building, and selling companies in the health care technology, provider accountable care services, and health consumer sectors. Having been both a primary care physician and a leader in a large...Read More →",,You Are What You Eat: The Nexus of Food & Health - Morning Session *External Tic; You Are What You Eat: The Nexus of Food & Health - Afternoon Session *External T,//avatars.sched.co/8/a1/5977756/avatar.jpg?5eb,,,,
avatar for Dustin Bruzenak,2018,2,"Modern LogicDustin Bruzenak is CEO of Modern Logic, a digital innovation agency. In past lives he's been a lead developer at Adobe and founded several software businesses.",,"MH + HR: Guiding mental health conversations at work; How to Build a ""Lean"" Mobile App",//avatars.sched.co/5/bd/5956081/avatar.jpg?38e,,,,
avatar for Dylan Dierking,2023,1,The BETA Group,,Opening Party Presented by Twin Ignition,//avatars.sched.co/c/a1/18912888/avatar.jpg?cc9,,,,
avatar for EPIQ Partners (Host),2018,1,,,Begin with the End in Mind: This Endeavor is a Smashing Success...Now What?,//avatars.sched.co/8/66/6077800/avatar.jpg?d9c,,,,
avatar for Ed Cannon,2018,1,"ZivixEd Cannon, was CEO and the Founder of Smart Grid company: Cannon Technologies, sold in 2008. Cannon Tech is now the cornerstone of the Energy Automation Division of Eaton Corp. An EE grad from SDSU, where he was honored as Distinguished Engineer of 2007, Ed is presently the lead investor...Read More →",,Smart Strategies to Start a Product-Focused Business,//avatars.sched.co/8/34/5916032/avatar.jpg?0ac,,,,
avatar for Ed Rogers,2018,1,"BonomuseMr. Rogers has more than 25 years of entrepreneurial business experience as a founder, investor, adviser and lawyer. Before co-founding Bonumose, he practiced law for 11 years, co-founded an animal food technology company based on university technology, and designed/implemented a...Read More →",,You Are What You Eat: The Nexus of Food & Health - Morning Session *External Tic,//avatars.sched.co/8/d3/6179803/avatar.jpg?52c,,,,
avatar for EduCharacter (Host),2018,1,,,Why Disrupting Education is So Hard,//avatars.sched.co/c/9f/6078139/avatar.jpg?074,,,,
avatar for Educelerate North (Host),2018,3,,,Edtech Founders' Forum; Protecting Your IP and Preparing for Financing; What's Happening with Recent Edtech Exits?,//avatars.sched.co/c/76/6168883/avatar.jpg?9c8,,,,
avatar for Elaine Tymchak,2023,1,"CultivateI build people’s capacity to fight poverty & injustice, serve those who are disenfranchised & help communities to thrive.",,Cultivating Change: Integrating Purpose into Your Startup Journey,//avatars.sched.co/3/2e/19180491/avatar.jpg?bec,,,,
"avatar for Elizabeth Orme, Ed.S.",2023,1,"Ed.S.Founder and CEO, Creatively FocusedElizabeth Orme, Ed.S., Founder and CEO of Creatively Focused, is revolutionizing special education by integrating technology and artificial intelligence to support educators. A former special education director and school board member, she brings firsthand experience to her work...Read More →",,How To Raise Seed Capital From VCs: The Process For A Successful Fundraise,//avatars.sched.co/c/b7/19180583/avatar.jpg?779,,,,
avatar for Elizabeth Stein,2018,1,Purely Elizabeth,,Building Mission Driven Brands - Food Ag Ideas Week *External Registration Requi,//avatars.sched.co/c/0c/5975035/avatar.jpg?e2b,,,,
avatar for Elwin Loomis,2018,1,,,FinTech Track Opening Keynote - Community building *External Ticket Required*,//avatars.sched.co/5/b9/6250449/avatar.jpg?68a,,,,
avatar for Emily Pritchard,2018,1,"The Social LightsEmily is an innovator with a passion for building relationships and strategic partnerships. She is an ideas person who can roll up her sleeves and get things done.Emily loves experimenting with new technologies and taking calculated risks to boost a brand’s social presence and grow engaged communities. She enjoys developing customized training programs, creating confident and competent teams that integrate social media into their brand’s...Read More →",,The Social Lights presents Social Media Trends on Tap,//avatars.sched.co/3/33/5914574/avatar.jpg?ab4,,,,
avatar for Entrepreneurs' Organization Minnesota (Host),2018,1,,,Global Student Entrepreneur Awards Regional Finals,//avatars.sched.co/9/7c/6169219/avatar.jpg?d21,,,,
avatar for Entrepreneurship at Macalester (Host),2018,1,,,MacGo Night,//avatars.sched.co/0/a9/6078616/avatar.jpg?332,,,,
avatar for Eric Dorphy,2023,1,Twin Cities App Dev LLCI'm an Apple technology evangelist for an enterprise by day and a startup founder by night. User privacy comes first in every product I build.Conversation starters:- How do you measure app performance in a privacy-preserving way?- How do you build a location aware/intelligent mob...Read More →,,Mobile Performance Monitoring for Apple Platforms,//avatars.sched.co/6/74/19184928/avatar.jpg?2c6,,,,
avatar for Eric Ryan,2018,3,"OLLY PBCEric Ryan and his high school buddy Adam started Method in 2001 and have since built it into a global industry leader for both design and sustainability. Today, Method has over 200 planet-friendly cleaning products in stores across North America, Europe, Australia and Asia.  Eric...Read More →",,Design as Disruptor: Food Ag Ideas Week *External Registration Required*; Company Research; The Consumerization of Health Track Session - MANOVA Global Summit on the Future,//avatars.sched.co/2/6b/5955406/avatar.jpg?f1d,,,,
avatar for Erinn Farrell,2018,1,"The CovenErinn is an Operations maven with a deep passion for architecture and design. Erinn is responsible for ensuring day to day operations benefit all our members, staff and partners.In her past life, Erinn was an Advertising Executive focused on transforming teams most recently as the GM of space150’s New York City office. Taken aback by the lack of substantive conversation in the marketing space Erinn dedicated herself to finding ways to bring more informed...Read More →",,Power of 100 MSP Pitchfest *External Registration Required*,//avatars.sched.co/4/95/5941473/avatar.jpg?06e,,,,
avatar for Esra Kucukciftci,2018,2,"Pricing InnovationsEsra Kucukciftci is the Founder and CEO of Pricing Innovations – a pricing and monetization consultancy focusing on technology products and services. Prior to Pricing Innovations, Esra held product management, product development, and marketing roles in in global businesses ranging...Read More →",,Just Build It; Pricing Canvas Workshop,//avatars.sched.co/f/ab/5912537/avatar.jpg?54e,,,,
avatar for Evelyn Christianson,2018,1,"HomeSpotterEvelyn leads HomeSpotter’s Customer Success efforts touching everything from support, implementation, on-boarding, training, and account management.",,How to Measure Customer Success at Your Startup [Panel Discussion],//avatars.sched.co/1/5c/5804396/avatar.jpg?b80,,,,
avatar for Evva Kraikul,2018,1,"GLITCHEvva Kraikul is the Executive Director and Co-Founder of GLITCH. With 6+ years of experience, Evva has worked alongside over 50 major technology and gaming industry partners such as Microsoft, Blizzard Entertainment, Riot Games, ASUS, Valve & 3M to develop games, design programming...Read More →",,Leading With Purpose: Exploring Business Structures for Mission-Driven Companies,//avatars.sched.co/8/e0/6092170/avatar.jpg?d54,,,,
avatar for Field Nation (Host),2018,4,,,Minimal Lovable Product; MicroMN; When Agile Methods Stop Working,//avatars.sched.co/2/e4/6077374/avatar.jpg?358,,,,
avatar for Fish & Richardson,2018,1,,,Intellectual Property on Tap: Start Up Edition,//avatars.sched.co/3/a0/6077716/avatar.jpg?3b8,,,,
avatar for Flagship Bank Minnesota (Host),2018,1,,,Raising capital: It can’t be that hard… Right?,//avatars.sched.co/d/db/6078604/avatar.jpg?cf6,,,,
avatar for Food Industry Panel,2018,2,making mistakes and picking themselves back up from it and getting better. We think you should work...Read More →,,Entrepreneur Expo; CoCreateX Experience at the Hill,//avatars.sched.co/b/5e/6016294/avatar.jpg?d1c,,,,
"avatar for Fountane, LLC (host)",2018,1,LLC (host),,"Pitch, Please- The Ultimate Idea Competition!",//avatars.sched.co/4/9a/6077362/avatar.jpg?453,,,,
