name,years_active,session_count,companies,roles,sample_sessions,avatar_url,email,linkedin,twitter,notes
SCSam CartfordUptrends.ai,2023,1,,,ChatGPT: The Perils and Pitfalls of LLMs,//cdn.sched.co/common/img/icon-google-maps.png,,,,
SHShawntera HardyFounder + CEO,2023,2,Fearless Commerce,,The Watering presented by Fearless Commerce; The Watering presented by Fearless Commerce,//cdn.sched.co/common/img/icon-google-maps.png,,,,
SSSanjeev ShahBMO,2023,1,,,Preparing for Institutional Capital from Day 1,//cdn.sched.co/common/img/icon-google-maps.png,,,,
SSShane SolingerFaegre Drinker,2023,1,,,Risk Management & Liability for Small Businesses,//cdn.sched.co/common/img/icon-google-maps.png,,,,
TAThierry AjasPractice Director,2023,1,Randstad Technologies,,Unlocking Talent: The Power of Partnering with a Search Firm!,//cdn.sched.co/common/img/icon-google-maps.png,,,,
TJTom JamesLaw Office of Tom James,2023,1,,,Protecting Trademarks and Names,//cdn.sched.co/common/img/icon-google-maps.png,,,,
VKVarun KodathalaAI Engineer,2023,2,Vizworld Inc.,,Exploring the Application of Computer Vision in Elite Sports – The Value Proposi; Sportsvision Demo,//cdn.sched.co/common/img/icon-google-maps.png,,,,
VKVictoria KyeremeFounder,2023,1,Girls Dream Code,,The Future is Feminine: Women Redefining the Tech Sphere,//cdn.sched.co/common/img/icon-google-maps.png,,,,
VLValerie LockhartExecutive Director,2023,1,Code Savvy,,Building Apps for Impact: How Code Savvy Inspires the Next Generation,//cdn.sched.co/common/img/icon-google-maps.png,,,,
VLVictoria LeonVice President,2023,1,Hyde Park Ventures,,Founders X Funders: Venture Capital in 2023,//cdn.sched.co/common/img/icon-google-maps.png,,,,
VPVasiliki PapanikolopoulosCoimatan,2023,4,,,The LynHall Afternoon Tea; Jasmine 26 Hot Pot; Union Hmong Kitchen Feast,//cdn.sched.co/common/img/icon-google-maps.png,,,,
ZOZach OlsonShareholder,2023,1,Fredrikson,,Empowering Growth: Revenue-Based Financing for Emerging Enterprises,//cdn.sched.co/common/img/icon-google-maps.png,,,,
avatar for Aaron Eggert,2018,1,"BackfortyAaron became the youngest VP of Sales in S+T history after destroying quota year after year in every sales role the company would put him in. He then went to iSpace & as a selling President grew revenue to 270%.Currently Aaron is the Founder of Backforty, a botique sales strategy consulting firm focused on helping startups thrive...Read More →",,Coffee & Closers :: Sales Challenges Solved LIVE,//avatars.sched.co/8/9a/5914731/avatar.jpg?571,,,,
avatar for Aaron Keller,2018,1,"CapsuleAaron Keller and his Capsule team have worked globally with top brands such as Patagonia, Herman Miller, Target , Mattel, General Mills and Pepsi, as well as a number of start-up ventures. Sharing his experience and insights from over 25 years in the industry, Keller delivers an energetic...Read More →",,How WE Built This- A Team Approach for Wonderly Software Solutions,//avatars.sched.co/f/f9/5915977/avatar.jpg?cff,,,,
avatar for Abigail Johnson,2023,2,"TriNetAs a member of the TriNet team, Abby serves as a resource to startups and the SMB community.  TriNet (NYSE: TNET) provides small and medium-size businesses (SMBs) with full-service HR solutions tailored by industry. To free SMBs from HR complexities, TriNet offers access to human...Read More →",,VC Fireside Chat hosted by TriNet; VC Fireside Chat hosted by TriNet,//avatars.sched.co/d/4f/9580030/avatar.jpg?2b2,,,,
avatar for Abyan Nur,2023,1,FacelessProAbyan Nur is the founder and CEO of Faceless Pro. Faceless Pro started from her own personal experience dealing with discrimination while applying for jobs. She envisioned a world where everyone has the same opportunity at finding employment without worrying about being judged based...Read More →,,"Discrimination, Unconscious Bias, Racism in the Workforce Discussion",//avatars.sched.co/9/0c/18578112/avatar.jpg?dbe,,,,
"avatar for Acara, a program at the University of Minnesota (Host)",2018,1,a program at the University of Minnesota (Host),,Social Entrepreneur Live!,//avatars.sched.co/e/c6/6169174/avatar.jpg?689,,,,
avatar for ActivMedia (Host),2018,2,,,JUST ADDED: Scaling Within: Expand Your Internal Capacity to Sustain External Gr; Scaling Within: Expand Your Internal Capacity to Sustain External Growth Session,//avatars.sched.co/1/34/6168712/avatar.jpg?86c,,,,
avatar for Adam Bradley Jonas,2023,1,,,"Confronting Climate Change with Leading Edge, Sustainable Housing Development",//avatars.sched.co/d/94/19258244/avatar.jpg?7c6,,,,
avatar for Adam Choe,2023,1,"Tundra VenturesAdam Choe is the Managing Partner for Tundra Ventures, a venture fund focusing on early-stage startups in Technology, Consumer Packaged Goods, and Healthcare. Before this, he co-founded Yonder, a startup focusing on pediatric healthcare. Adam is the former Managing Director of the...Read More →",,VC Fireside Chat hosted by TriNet,//avatars.sched.co/e/3a/19170278/avatar.jpg?881,,,,
avatar for Adam G Southam,2018,2,"Food for Health® llcAdam Southam is a broad-based strategic thinker with more than 35 years of leadership, innovation, strategy, invention, business start-up, branding, and marketing excellence. He has conceived several patented inventions related to functional and preventative medicine, health, wellness...Read More →",,You Are What You Eat: The Nexus of Food & Health - Morning Session *External Tic; You Are What You Eat: The Nexus of Food & Health - Afternoon Session *External T,//avatars.sched.co/b/7e/5977543/avatar.jpg?3db,,,,
avatar for Adam Gettings,2018,1,"Rover RoboticsAdam Gettings has spent 13 years working with technology startups as an employee, founder and advisor.  Adam began his career by joining ProVation Medical, a Minnesota software startup that was acquired by Wolters Kluwer in 2006.  Adam then moved to Silicon Valley and founded RoboteX...Read More →",,Smart Strategies to Start a Product-Focused Business,//avatars.sched.co/f/66/5916034/avatar.jpg?41e,,,,
avatar for Adam Gordon,2018,1,Andamio Games,,Edtech Founders' Forum,//avatars.sched.co/9/2b/5967457/avatar.jpg?c13,,,,
avatar for Adam Lupu,2018,1,Limitless Harmony,,Edtech Founders' Forum,//avatars.sched.co/d/50/5967511/avatar.jpg?bba,,,,
avatar for Aditya Siripragada,2018,1,"Fountane, LLCAditya is a junior studying Marketing and Data Analytics at the Carlson School of Management. He is the founder and CEO of Fountane, LLC which he started his sophomore year of college.",,"Pitch, Please- The Ultimate Idea Competition!",//avatars.sched.co/3/90/5915995/avatar.jpg?5a1,,,,
avatar for Adrian Ho,2018,1,"Zeus JonesAdrian is CEO and founding partner at Zeus Jones a strategy and design agency headquartered in Minneapolis. Their work is centered around brand, service and product innovation in the areas of food, technology, healthcare, sports, home and office products and fashion.Before Zeus J...Read More →",,The Consumerization of Health Track Session - MANOVA Global Summit on the Future,//avatars.sched.co/5/88/5955235/avatar.jpg?03f,,,,
avatar for Adrianna Willis,2023,1,"Mind the Crown LLCI am the founder of a mission-based business that aims to provide resources for Brown and Black women to help them address past traumas, become more vulnerable, and ultimately better care for themselves. By providing a safe and supportive community, the Well Girl tribe, we believe...Read More →",,Female Founders & Caregiving,//avatars.sched.co/d/b1/19180445/avatar.jpg?248,,,,
avatar for Al Cornish,2023,1,"gener8torAl is a Managing Partner at gener8tor, a startup accelerator and venture capital firm. Al also serves as General Partner of the MSP Equity Fund, a venture capital fund directed at investing in women and diverse entrepreneurs. Al is passionate about supporting entrepreneurs and investing...Read More →",,VC Fireside Chat hosted by TriNet,//avatars.sched.co/2/57/19225902/avatar.jpg?315,,,,
avatar for Alex Bangs,2023,1,"Allevo AdvisorsAlex is an experienced technology and startup leader with a focus on mission-driven organizations, especially in healthcare and life sciences. He was the CTO/CIO for three startups in Silicon Valley with two successful exits (Entelos - Co-Founder & CTO; Crescendo Bioscience - CIO...Read More →",,Experts on Tap - Leveraging Fractional Leaders in Startups,//avatars.sched.co/b/51/18348819/avatar.jpg?c6e,,,,
avatar for Alex Danzberger,2018,2,"MyFormularyAlex Danzberger brings over 30 years of leadership success across a variety of industries as well as international assignments in Asia Pacific with a focus on finance, business operations, strategy, and business development. He has a proven history of thriving in an environment of...Read More →",,You Are What You Eat: The Nexus of Food & Health - Morning Session *External Tic; You Are What You Eat: The Nexus of Food & Health - Afternoon Session *External T,//avatars.sched.co/1/e8/5977561/avatar.jpg?30a,,,,
avatar for Alex Ryan,2018,1,Starting 11,,Play the Odds: The Future and Impact of Sports Betting,//avatars.sched.co/9/2e/6018595/avatar.jpg?40d,,,,
"avatar for Alex Smith, PhD",2018,2,"PhDSenior Data Scientist, Field NationAfter getting his PhD in physics, Alex was a researcher in experimental high-energy physics for almost two decades before a career change to data science.",,Minimum Believable (AI) Products: Creating Value With AI Products at Field Natio; What You Need for a BioTech or Medical Startup,//avatars.sched.co/8/45/5507871/avatar.jpg?58c,,,,
avatar for Alexis Walsko,2018,1,"Chief Executive Officer & Visionary at Lola Red. She founded the agency at just 22 years old and has since established Lola Red as an award-winning and nationally recognized PR firm. In 2015, she oversaw the addition of Lola Pro, a division of Lola Red...Read More →",,The Power of Your Personal Brand - Red Bull Athlete and Artist Workshop & Tell-a,//avatars.sched.co/c/1d/6331332/avatar.jpg?e11,,,,
