year,title,url,time_place,track,description,speakers,speaker_details,files,photos
2023,Opening Party Presented by Twin Ignition,https://tcsw2023.sched.com/event/1RImT/opening-party-presented-by-twin-ignition,,,,avatar for Dylan Dierking; avatar for Cihan Behlivan,"[{""name"": ""avatar for Dylan Dierking"", ""role"": """", ""company"": ""The BETA Group"", ""avatar_url"": ""//avatars.sched.co/c/a1/18912888/avatar.jpg?cc9""}, {""name"": ""avatar for Cihan Behlivan"", ""role"": """", ""company"": ""BETA MN"", ""avatar_url"": ""//avatars.sched.co/a/64/19239704/avatar.jpg?1d7""}]",,
2023,TCSW Walk and Talk,https://tcsw2023.sched.com/event/1RHHH/tcsw-walk-and-talk,,,,avatar for Tim Bornholdt,"[{""name"": ""avatar for Tim Bornholdt"", ""role"": """", ""company"": ""Recursive AwesomeI help people figure out how tech stuff works. I'm also CTO at Bionic Giant, a software architect, proud dad, happily married, avid public speaker, Ruby on Rails/iOS developer, anecdotalist, musician, and endurance athlete."", ""avatar_url"": ""//avatars.sched.co/f/1e/19170134/avatar.jpg?637""}]",,
2023,Meal Prep with a Twist,https://tcsw2023.sched.com/event/1RHPM/meal-prep-with-a-twist,,,,avatar for Chaz Sandifer,"[{""name"": ""avatar for Chaz Sandifer"", ""role"": """", ""company"": ""theNEWmpls"", ""avatar_url"": ""//avatars.sched.co/4/ec/10778819/avatar.jpg?bbf""}]",,
2023,Leaf Secrets - Connect with Nature,https://tcsw2023.sched.com/event/1RHEY/leaf-secrets-connect-with-nature,,,,avatar for Rich Thomsen,"[{""name"": ""avatar for Rich Thomsen"", ""role"": """", ""company"": ""Making the Fire"", ""avatar_url"": ""//avatars.sched.co/7/7a/19170059/avatar.jpg?6b9""}]",,
2023,Nutrition & Wellness Talk,https://tcsw2023.sched.com/event/1RHPU/nutrition-wellness-talk,,,,avatar for Chaz Sandifer,"[{""name"": ""avatar for Chaz Sandifer"", ""role"": """", ""company"": ""theNEWmpls"", ""avatar_url"": ""//avatars.sched.co/4/ec/10778819/avatar.jpg?bbf""}]",,
2023,Entrepreneurship as Art: Embracing Constraints to Drive Creativity (Workshop),https://tcsw2023.sched.com/event/1RHPv/entrepreneurship-as-art-embracing-constraints-to-drive-creativity-workshop,,,,avatar for Zack Steven; avatar for Zack Steven,"[{""name"": ""avatar for Zack Steven"", ""role"": """", ""company"": ""Cloudburst SBCCreator of the Shared Success Agreement | CEO @ Cloudburst SBC | Partner@Monkey Island VenturesCurious Optimist | Dad | Entrepreneur. Fan of good design, big ideas & strong communities."", ""avatar_url"": ""//avatars.sched.co/e/3e/6013144/avatar.jpg?648""}, {""name"": ""avatar for Zack Steven"", ""role"": """", ""company"": """", ""avatar_url"": ""//avatars.sched.co/e/3e/6013144/avatar.jpg?648""}]",,
2023,Youth Entrepreneur Fair,https://tcsw2023.sched.com/event/1SB5j/youth-entrepreneur-fair,,,,avatar for Maliza Kalema,"[{""name"": ""avatar for Maliza Kalema"", ""role"": """", ""company"": """", ""avatar_url"": ""//avatars.sched.co/4/fe/19292637/avatar.jpg?103""}]",,
2023,NO Permission,https://tcsw2023.sched.com/event/1RHGA/no-permission,,,,avatar for Tim Williams,"[{""name"": ""avatar for Tim Williams"", ""role"": """", ""company"": ""T.WILL Sports IncTim Williams, the founder of T.Will Sports, is an authentic product of Minneapolis public schools. His journey and experiences have shaped his dedication to youth development through sports.With a deep-rooted belief in the transformative power of sports, Tim's personal and professional life has been profoundly influenced by his involvement in athletic endeavors. With over 25 years of combined experience as a player and coach in basketball, Tim brings a wealth of knowledge...Read More →"", ""avatar_url"": ""//avatars.sched.co/7/84/19170080/avatar.jpg?c89""}]",,
2023,1st Annual OnlyFounders Bags Tournament,https://tcsw2023.sched.com/event/1RHHh/1st-annual-onlyfounders-bags-tournament,,,,avatar for Ramsey Shaffer,"[{""name"": ""avatar for Ramsey Shaffer"", ""role"": """", ""company"": """", ""avatar_url"": ""//avatars.sched.co/9/ab/19170150/avatar.jpg?c2f""}]",,
2023,The LynHall Afternoon Tea,https://tcsw2023.sched.com/event/1RHIo/the-lynhall-afternoon-tea,,,,VPVasiliki PapanikolopoulosCoimatan,"[{""name"": ""VPVasiliki PapanikolopoulosCoimatan"", ""role"": """", ""company"": """", ""avatar_url"": ""//cdn.sched.co/common/img/icon-google-maps.png""}]",,
2023,Jasmine 26 Hot Pot,https://tcsw2023.sched.com/event/1RHPe/jasmine-26-hot-pot,,,,VPVasiliki PapanikolopoulosCoimatan,"[{""name"": ""VPVasiliki PapanikolopoulosCoimatan"", ""role"": """", ""company"": """", ""avatar_url"": ""//cdn.sched.co/common/img/icon-google-maps.png""}]",,
2023,Union Hmong Kitchen Feast,https://tcsw2023.sched.com/event/1RHIK/union-hmong-kitchen-feast,,,,VPVasiliki PapanikolopoulosCoimatan,"[{""name"": ""VPVasiliki PapanikolopoulosCoimatan"", ""role"": """", ""company"": """", ""avatar_url"": ""//cdn.sched.co/common/img/icon-google-maps.png""}]",,
2023,Protecting Trademarks and Names,https://tcsw2023.sched.com/event/1RHDG/protecting-trademarks-and-names,,,,TJTom JamesLaw Office of Tom James,"[{""name"": ""TJTom JamesLaw Office of Tom James"", ""role"": """", ""company"": """", ""avatar_url"": ""//cdn.sched.co/common/img/icon-google-maps.png""}]",,
2023,Hope Breakfast Brunch,https://tcsw2023.sched.com/event/1RImP/hope-breakfast-brunch,,,,,[],,
2023,Pagoda Dim Sum,https://tcsw2023.sched.com/event/1RHE2/pagoda-dim-sum,,,,VPVasiliki PapanikolopoulosCoimatan,"[{""name"": ""VPVasiliki PapanikolopoulosCoimatan"", ""role"": """", ""company"": """", ""avatar_url"": ""//cdn.sched.co/common/img/icon-google-maps.png""}]",,
2023,Building Apps for Impact: How Code Savvy Inspires the Next Generation,https://tcsw2023.sched.com/event/1RFdq/building-apps-for-impact-how-code-savvy-inspires-the-next-generation,,,,VLValerie LockhartExecutive Director,"[{""name"": ""VLValerie LockhartExecutive Director"", ""role"": """", ""company"": ""Code Savvy"", ""avatar_url"": ""//cdn.sched.co/common/img/icon-google-maps.png""}]",,
2023,Product-Market Fit Breakfast (Sold Out for capacity of 10),https://tcsw2023.sched.com/event/1Q8GT/product-market-fit-breakfast-sold-out-for-capacity-of-10,,,,avatar for Casey Flynn,"[{""name"": ""avatar for Casey Flynn"", ""role"": """", ""company"": ""Coach Casey LLCAs a coach, I help founders of early-stage startups quickly and cheaply test ideas so they can design the right product for the right customer. I bring experience in entrepreneurship, leadership, product/project management, UX & DesignOps, software development, Lean-Agile coaching...Read More →"", ""avatar_url"": ""https://graph.facebook.com/v17.0/10104961411310752/picture?width=400&height=400""}]",Product Market Fit Breakfastpdf,
