year,title,url,time_place,track,description,speakers,speaker_details,files,photos
2018,Voice Is The New Playground For Brands,https://tcsw18.sched.com/event/G7BQ/voice-is-the-new-playground-for-brands,,,,avatar for Chad Gilhoi; avatar for Megan Junius; avatar for Jen Gilhoi; avatar for Peter Hill Design (Host); avatar for Kyle Simmons,"[{""name"": ""avatar for Chad Gilhoi"", ""role"": """", ""company"": ""The Sluice GateAs a digital product manager for a Fortune 500 company and freelance developer, Chad is very active on the voice app frontier.  He’s tracked consumer preferences for voice interaction and is currently navigating opportunities for voice apps in the corporate space. Chad presents...Read More →"", ""avatar_url"": ""//avatars.sched.co/4/c4/5912809/avatar.jpg?9e8""}, {""name"": ""avatar for Megan Junius"", ""role"": """", ""company"": ""Peter Hill DesignMegan leads Peter Hill Design, a full-service and award-winning creative design agency since 1998, as President and Creative Director. With 18 years as a graphic designer and art director, she expertly leads brand and advertising projects for national consumer and B2B clients. She...Read More →"", ""avatar_url"": ""//avatars.sched.co/c/a6/5914775/avatar.jpg?68f""}, {""name"": ""avatar for Jen Gilhoi"", ""role"": """", ""company"": ""Sparktrack ConsultingAs a Twin Cities-based communications strategist for 20 years, Jen has held various marketing roles in agencies, corporations, associations and her own 2012 start-up, SparkTrack Consulting. She lives where in-person and online communications connect through community and conversation...Read More →"", ""avatar_url"": ""//avatars.sched.co/b/b6/5914777/avatar.jpg?01f""}, {""name"": ""avatar for Peter Hill Design (Host)"", ""role"": """", ""company"": """", ""avatar_url"": ""//avatars.sched.co/5/60/6078589/avatar.jpg?1b8""}, {""name"": ""avatar for Kyle Simmons"", ""role"": """", ""company"": ""Launch & Land"", ""avatar_url"": ""//avatars.sched.co/7/04/8906914/avatar.jpg?410""}]",,
2018,Free Co-working & Team Offices at Spaces,https://tcsw18.sched.com/event/GHNQ/free-co-working-team-offices-at-spaces,,,,,[],,
2018,Free Co-working at Fueled Collective ( All Locations Open During TCSW ),https://tcsw18.sched.com/event/GHNH/free-co-working-at-fueled-collective-all-locations-open-during-tcsw,,,,,[],,
2018,Free Co-working at Glen Nelson Center,https://tcsw18.sched.com/event/GIXK/free-co-working-at-glen-nelson-center,,,,,[],,
2018,Free Co-working at Impact Hub MSP,https://tcsw18.sched.com/event/GHNK/free-co-working-at-impact-hub-msp,,,,,[],,
2018,Free Co-working at Industrious ( Both Locations Open During TCSW ),https://tcsw18.sched.com/event/GHNN/free-co-working-at-industrious-both-locations-open-during-tcsw,,,,,[],,
2018,Free Co-working at UEL,https://tcsw18.sched.com/event/GHNT/free-co-working-at-uel,,,,,[],,
2018,Free Co-working at Wellworth,https://tcsw18.sched.com/event/GHNW/free-co-working-at-wellworth,,,,,[],,
2018,Free Co-working at WeWork,https://tcsw18.sched.com/event/GFaB/free-co-working-at-wework,,,,,[],,
2018,"Hemp, MN, and the Creation of a New Industry - Food Ag Ideas Week *External Registration Required*",https://tcsw18.sched.com/event/GHB8/hemp-mn-and-the-creation-of-a-new-industry-food-ag-ideas-week-external-registration-required,,,,avatar for Jennifer Wagner Lahr; avatar for Charles Levine; avatar for John Strohfus; avatar for Andrea Vaubel,"[{""name"": ""avatar for Jennifer Wagner Lahr"", ""role"": """", ""company"": ""AURI"", ""avatar_url"": ""//avatars.sched.co/5/e6/5974804/avatar.jpg?1fe""}, {""name"": ""avatar for Charles Levine"", ""role"": """", ""company"": ""Hemp Acres LLC & Equichill LL"", ""avatar_url"": ""//avatars.sched.co/6/ab/5974828/avatar.jpg?2c9""}, {""name"": ""avatar for John Strohfus"", ""role"": """", ""company"": ""Minnesota Hemp Farms, Inc."", ""avatar_url"": ""//avatars.sched.co/b/60/5974822/avatar.jpg?41e""}, {""name"": ""avatar for Andrea Vaubel"", ""role"": """", ""company"": ""Minnesota Dept. of Agriculture"", ""avatar_url"": ""//avatars.sched.co/c/83/5974819/avatar.jpg?539""}]",,
